Date,Open,High,Low,Close,,,,,,,,,,,,,,,,,
6/1/2020,"3,038.78","3,062.18","3,031.54","3,055.73",,,,,,,,,,,,,,,,,
6/2/2020,"3,064.78","3,081.07","3,051.64","3,080.82",,,,,,,,,,,,,,,,,
6/3/2020,"3,098.90","3,130.94","3,098.90","3,122.87",,,,,,,,,,,,,,,,,
6/4/2020,"3,111.56","3,128.91","3,090.41","3,112.35",,,,,,,,,,,,,,,,,
6/5/2020,"3,163.84","3,211.72","3,163.84","3,193.93",,,,,,,,,,,,,,,,,
6/8/2020,"3,199.92","3,233.13","3,196.00","3,232.39",,,,,,,,,,,,,,,,,
6/9/2020,"3,213.32","3,222.71","3,193.11","3,207.18",,,,,,,,,,,,,,,,,
6/10/2020,"3,213.42","3,223.27","3,181.49","3,190.14",,,,,,,,,,,,,,,,,
6/11/2020,"3,123.53","3,123.53","2,999.49","3,002.10",,,,,,,,,,,,,,,,,
6/12/2020,"3,071.04","3,088.42","2,984.47","3,041.31",,,,,,,,,,,,,,,,,
6/15/2020,"2,993.76","3,079.76","2,965.66","3,066.59",,,,,,,,,,,,,,,,,
6/16/2020,"3,131.00","3,153.45","3,076.06","3,124.74",,,,,,,,,,,,,,,,,
6/17/2020,"3,136.13","3,141.16","3,108.03","3,113.49",,,,,,,,,,,,,,,,,
6/18/2020,"3,101.64","3,120.00","3,093.51","3,115.34",,,,,,,,,,,,,,,,,
6/19/2020,"3,140.29","3,155.53","3,083.11","3,097.74",,,,,,,,,,,,,,,,,
6/22/2020,"3,094.42","3,120.92","3,079.39","3,117.86",,,,,,,,,,,,,,,,,
6/23/2020,"3,138.70","3,154.90","3,127.12","3,131.29",,,,,,,,,,,,,,,,,
6/24/2020,"3,114.40","3,115.01","3,032.13","3,050.33",,,,,,,,,,,,,,,,,
6/25/2020,"3,046.60","3,086.25","3,024.01","3,083.76",,,,,,,,,,,,,,,,,
6/26/2020,"3,073.20","3,073.73","3,004.63","3,009.05",,,,,,,,,,,,,,,,,
6/29/2020,"3,018.59","3,053.89","2,999.74","3,053.24",,,,,,,,,,,,,,,,,
6/30/2020,"3,050.20","3,111.51","3,047.83","3,100.29",,,,,,,,,,,,,,,,,
7/1/2020,"3,105.92","3,128.44","3,101.17","3,115.86",,,,,,,,,,,,,,,,,
7/2/2020,"3,143.64","3,165.81","3,124.52","3,130.01",,,,,,,,,,,,,,,,,
7/6/2020,"3,155.29","3,182.59","3,155.29","3,179.72",,,,,,,,,,,,,,,,,
7/7/2020,"3,166.44","3,184.15","3,142.93","3,145.32",,,,,,,,,,,,,,,,,
7/8/2020,"3,153.07","3,171.80","3,136.53","3,169.94",,,,,,,,,,,,,,,,,
7/9/2020,"3,176.17","3,179.78","3,115.70","3,152.05",,,,,,,,,,,,,,,,,
7/10/2020,"3,152.47","3,186.82","3,136.22","3,185.04",,,,,,,,,,,,,,,,,
7/13/2020,"3,205.08","3,235.32","3,149.43","3,155.22",,,,,,,,,,,,,,,,,
7/14/2020,"3,141.11","3,200.95","3,127.66","3,197.52",,,,,,,,,,,,,,,,,
7/15/2020,"3,225.98","3,238.28","3,200.76","3,226.56",,,,,,,,,,,,,,,,,
7/16/2020,"3,208.36","3,220.39","3,198.59","3,215.57",,,,,,,,,,,,,,,,,
7/17/2020,"3,224.21","3,233.52","3,205.65","3,224.73",,,,,,,,,,,,,,,,,
7/20/2020,"3,224.29","3,258.61","3,215.16","3,251.84",,,,,,,,,,,,,,,,,
7/21/2020,"3,268.52","3,277.29","3,247.77","3,257.30",,,,,,,,,,,,,,,,,
7/22/2020,"3,254.86","3,279.32","3,253.10","3,276.02",,,,,,,,,,,,,,,,,
7/23/2020,"3,271.64","3,279.99","3,222.66","3,235.66",,,,,,,,,,,,,,,,,
7/24/2020,"3,218.58","3,227.26","3,200.05","3,215.63",,,,,,,,,,,,,,,,,
7/27/2020,"3,219.84","3,241.43","3,214.25","3,239.41",,,,,,,,,,,,,,,,,
7/28/2020,"3,234.27","3,243.72","3,216.17","3,218.44",,,,,,,,,,,,,,,,,
7/29/2020,"3,227.22","3,264.74","3,227.22","3,258.44",,,,,,,,,,,,,,,,,
7/30/2020,"3,231.76","3,250.92","3,204.13","3,246.22",,,,,,,,,,,,,,,,,
7/31/2020,"3,270.45","3,272.17","3,220.26","3,271.12",,,,,,,,,,,,,,,,,
8/3/2020,"3,288.26","3,302.73","3,284.53","3,294.61",,,,,,,,,,,,,,,,,
8/4/2020,"3,289.92","3,306.84","3,286.37","3,306.51",,,,,,,,,,,,,,,,,
8/5/2020,"3,317.37","3,330.77","3,317.37","3,327.77",,,,,,,,,,,,,,,,,
8/6/2020,"3,323.17","3,351.03","3,318.14","3,349.16",,,,,,,,,,,,,,,,,
8/7/2020,"3,340.05","3,352.54","3,328.72","3,351.28",,,,,,,,,,,,,,,,,
8/10/2020,"3,356.04","3,363.29","3,335.44","3,360.47",,,,,,,,,,,,,,,,,
8/11/2020,"3,370.34","3,381.01","3,326.44","3,333.69",,,,,,,,,,,,,,,,,
8/12/2020,"3,355.46","3,387.89","3,355.46","3,380.35",,,,,,,,,,,,,,,,,
8/13/2020,"3,372.95","3,387.24","3,363.35","3,373.43",,,,,,,,,,,,,,,,,
8/14/2020,"3,368.66","3,378.51","3,361.64","3,372.85",,,,,,,,,,,,,,,,,
8/17/2020,"3,380.86","3,387.59","3,379.22","3,381.99",,,,,,,,,,,,,,,,,
8/18/2020,"3,387.04","3,395.06","3,370.15","3,389.78",,,,,,,,,,,,,,,,,
8/19/2020,"3,392.51","3,399.54","3,369.66","3,374.85",,,,,,,,,,,,,,,,,
8/20/2020,"3,360.48","3,390.80","3,354.69","3,385.51",,,,,,,,,,,,,,,,,
8/21/2020,"3,386.01","3,399.96","3,379.31","3,397.16",,,,,,,,,,,,,,,,,
8/24/2020,"3,418.09","3,432.09","3,413.13","3,431.28",,,,,,,,,,,,,,,,,
8/25/2020,"3,435.95","3,444.21","3,425.84","3,443.62",,,,,,,,,,,,,,,,,
8/26/2020,"3,449.97","3,481.07","3,444.15","3,478.73",,,,,,,,,,,,,,,,,
8/27/2020,"3,485.14","3,501.38","3,468.35","3,484.55",,,,,,,,,,,,,,,,,
9/1/2020,"3,507.44","3,528.03","3,494.60","3,526.65",,,,,,,,,,,,,,,,,
9/2/2020,"3,543.76","3,588.11","3,535.23","3,580.84",,,,,,,,,,,,,,,,,
9/3/2020,"3,564.74","3,564.85","3,427.41","3,455.06",,,,,,,,,,,,,,,,,
9/4/2020,"3,453.60","3,479.15","3,349.63","3,426.96",,,,,,,,,,,,,,,,,
9/8/2020,"3,371.88","3,379.97","3,329.27","3,331.84",,,,,,,,,,,,,,,,,
9/9/2020,"3,369.82","3,424.77","3,366.84","3,398.96",,,,,,,,,,,,,,,,,
9/10/2020,"3,412.56","3,425.55","3,329.25","3,339.19",,,,,,,,,,,,,,,,,
9/11/2020,"3,352.70","3,368.95","3,310.47","3,340.97",,,,,,,,,,,,,,,,,
9/14/2020,"3,363.56","3,402.93","3,363.56","3,383.54",,,,,,,,,,,,,,,,,
